  0                       10                       20                      99.151187
 -1                       11                       22                      101.868836
  1                       11                       19                      97.629315
  4                       14                       16                      85.186695
 13                       23                        7                      37.736034
 40                       50                      -20                      108.581110
 20                       33                       -8                      43.545917
  3                       23                      -13                      73.174563
 20                       13                       -6                      32.352659
 41                      -17                      -45                      29553770.984228
 15                        9                      -45                      243.882965
 32                       23                        8                      43.496631
 23                        6                       14                      77.100389
 21                       26                       -3                      16.344697
  4                       18                       -9                      50.654127
 25                       22                        4                      21.749032
 31                       18                      -10                      54.133759
 18                       22                        3                      16.211962
 23                       34                        9                      48.779251
 21                       18                       -2                      10.798435
 15                       22                       -5                      27.304916
 23                       22                        2                      10.870103
 20                       15                        5                      27.273008
 21                       23                       -1                      5.456576
 25                       20                       -4                      21.646755
 20                       22                        1                      5.396555
 18                       20                       -3                      16.326901
 22                       22                        1                      5.428462
 21                       27                        3                      16.217888
 21                       20                       -1                      5.411489
 21                       20                        2                      10.873897
 21                       22                        0                      0.014934
 19                       21                       -1                      5.464791
 21                       22                        1                      5.413528
 20                       21                       -1                      5.445435
 24                       22                       -3                      16.260544
 41                       21                        5                      27.265002
 22                       42                        5                      27.032923
 19                       20                       50                      271.403735
 21                       22                       -1                      5.443396
 28                       13                       -1                      5.118579
 25                       18                        1                      5.537070
 22                       20                       -1                      5.396555
 24                       18                        1                      5.526727
 23                       20                       -1                      5.383375
 28                       15                       -2                      10.634454
 22                       20                       -0                      0.031907
 24                       17                       -0                      0.123747
 11                       15                       -4                      21.925583
 29                       12                      -12                      64.768759
 23                       17                       20                      108.681322
 18                       27                        0                      0.125986
 17                       26                        1                      5.285178
 25                       16                       -1                      5.264917
 16                       19                        3                      16.208289
 19                       27                       10                      54.180792
 25                       18                       10                      54.393226
 23                       20                        1                      5.473549
 19                       24                        0                      0.076105
 20                       21                       -5                      27.159282
 22                       24                       -5                      27.167151
 23                       24                       -0                      0.011662
 29                       30                        0                      0.005831
 47                       48                        0                      0.000881
101                      102                        0                      0.000004
263                      264                        0                      0.000000
749                      750                        0                      0.000000
263                       19                      -13                      70.394130
229                      244                        1                      5.428462
 78                       71                       -1                      5.428046
233                      275                       -2                      10.856924
313                      297                       -1                      5.428462
241                      314                        1                      5.428462
260                      251                       -0                      0.000000
280                      265                       -3                      16.285385
188                      209                        2                      10.856924
282                      275                        0                      0.000000
308                      283                       -1                      5.428462
288                      273                       -1                      5.428462
261                      244                        0                      0.000000
261                      256                        1                      5.428462
283                      262                        0                      0.000000
188                      209                       -3                      16.285385
249                      254                        0.5                    2.714231
288                      273                       -0.5                    2.714231
278                      268                       -0.25                   1.357115
259                      259                        0.25                   1.357115
264                      261                        0.13000000000000000444 0.705700
273                      266                       -0.13000000000000000444 0.705700
271                      265                       -0.07000000000000000666 0.379992
266                      262                        0.07000000000000000666 0.379992
267                      263                        0.04000000000000000083 0.217138
270                      264                       -0.04000000000000000083 0.217138
269                      264                       -0.02000000000000000042 0.108569
268                      263                        0.02000000000000000042 0.108569
268                      263                        0.01000000000000000021 0.054285
269                      264                       -0.01000000000000000021 0.054285
253                      264                       -0.01000000000000000021 0.054285
263                      254                       -0.11999999999999999556 0.651415
263                      266                       -0.5                    2.714231
273                      272                        0.51000000000000000888 2.768516
253                      254                        0.02999999999999999889 0.162854
263                      261                        0.2000000000000000111  1.085692
268                      265                        0.01000000000000000021 0.054285
262                      269                        0.14000000000000001332 0.759985
271                      269                        0.25                   1.357115
258                      255                        0.02000000000000000042 0.108569
266                      262                        0                      0.000000
258                      255                       -0.01000000000000000021 0.054285
261                      257                       -0.01000000000000000021 0.054285
263                      263                        0.10000000000000000555 0.542846
265                      263                       -0.05000000000000000278 0.271423
261                      262                       -0.02000000000000000042 0.108569
263                      265                       -0.02999999999999999889 0.162854
261                      264                        0.01930000000000000118 0.104769
262                      262                        0.01669999999999999957 0.090655
267                      264                       -0.00329999999999999998 0.017914
263                      264                       -0.01220000000000000077 0.066227
267                      263                        0.00449999999999999966 0.024428
264                      264                       -0.00670000000000000023 0.036371
266                      263                        0.00169999999999999991 0.009228
263                      262                        0.00440000000000000027 0.023885
266                      264                       -0.00139999999999999999 0.007600
